"Product_Name","texts"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","good buy"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","great phonegood price"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","I bought and send to Africa the two are not working"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Had difficulty connecting to wf"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","very good"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Excelent product, excellent condition and even better price. I don't miss anything from the 6"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Great product!"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Do not buy this phone. it is used, no head phone, chip charger not original, no iPhone box"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Bad batery"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","The phone works ..not sure if its unlocked to work with any carrier , but its unlocked i currently have metro pcs and my sim card did not work in phone..i did not get headphones with the phone but overall the phone is in mint condition"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","sometimes the sound on videos , music & keyboard clicks are just loud static & it won't turn down , not worth more than $100 IF THAT ..."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Wifi couldnt be enabled. Apparently had a hardware glitch after updating it and could not be fixed."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","exactly as described, great condition, refurb phone...although it is unlocked the format stops it from being used with all carriers..."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Arrived diligently . Phone was as new. I installed micro chip and called"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Good"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","this is no box.I don't know.so so."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Look's like a new brand iPhone and works perfectly. Just what i was looking for."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","The phone stopped working after less than 30 days. I'm in Argentina and it's impossible to ship items from other countries in here. I guess it's a waste of time and money. Extremely dissapointed of my purchase and don't have any plans to shop again here."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Looks like a new phone. Works well."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Working good.."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Works real good"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Excellent product. No signs of usage. In 100% perfect condition. Does not come with original charger. No headphones also."
