"ZipCode","Lat_deg","Long_deg","MedAge_24","MedAge_23","MedAge_22","AvgAge_24","AvgAge_23","AvgAge_22","MedHouseIncome_24","MedHouseIncome_23","MedHouseIncome_22","AvgHouseIncome_24","AvgHouseIncome_23","AvgHouseIncome_22","TotHouseUnits_24","TotHouseUnits_23","TotHouseUnits_22","OwnerOccupiedHouseUnits_24","OwnerOccupiedHouseUnits_23","OwnerOccupiedHouseUnits_22","Pop16UnempRate_24","Pop16UnempRate_23","Pop16UnempRate_22","Pop16CLFEmp_24","Pop16CLFEmp_23","Pop16CLFEmp_22","Pop16CLF_Unemp_24","Pop16CLF_Unemp_23","Pop16CLF_Unemp_22","AvgCheckValue_24","AvgCheckValue_23","AvgCheckValue_22","CITYNAME","Banks","NumBanks","NavigantCount"
"02802","41.949330000000003","-71.457621000000003","49.399999999999999","47.600000000000001","46.799999999999997","47.799999999999997","46.899999999999999","45.899999999999999","115385","108013","102823","131532","139434","133434","232","231","276","144","128","173","11.5","5.2000000000000002","5.7000000000000002","247","256","314","32","14","19","19158.77","16222.030000000001","15567.09","Albion","none",0,0
"02804","41.434418000000001","-71.769830999999996","46.200000000000003","46.200000000000003","46.299999999999997","44.100000000000001","44","43.799999999999997","99126","109821","101683","114089","124915","112425","1231","1216","1153","958","952","872","5.5","4.7999999999999998","4.5","1699","1694","1568","98","86","74","18363.869999999999","18163.09","16691.080000000002","Ashaway","none",0,0
"02806","41.744917000000001","-71.315053000000006","44.200000000000003","46.399999999999999","46.5","41.600000000000001","43.200000000000003","43","148983","141936","136491","201452","198233","190419","6388","6387","6597","5256","5352","5402","2.7000000000000002","2.6000000000000001","2.5","9005","9286","9191","254","248","239","22377.259999999998","20674.599999999999","19151.950000000001","Barrington","Banco Santander, S.A., Bank of America Corporation, Citizens Financial Group, Inc., Citizens Financial Group, Inc., JPMorgan Chase & Co., OceanPoint Financial Partners, MHC, The Toronto-Dominion Bank, Webster Financial Corporation",7,0
"02807","41.176178","-71.578650999999994","57.100000000000001","56.100000000000001","55.399999999999999","51.700000000000003","51","50.600000000000001","82317","76575","68182","91044","87035","79779","1875","1859","1813","525","462","359","6.5","7","4.2999999999999998","788","884","617","55","66","28","16249.33","13561.719999999999","12301.32","Block Island","Washington Trust Bancorp, Inc.",1,0
"02808","41.407176","-71.745321000000004","42.600000000000001","41.700000000000003","42.399999999999999","41.399999999999999","41","40.799999999999997","81289","82071","94224","99498","96622","109346","935","940","892","673","634","626","6","4.7999999999999998","5.5","1216","1267","1194","78","64","70","15317.08","14097.68","15380.26","Bradford","none",0,0
"02809","41.682744999999997","-71.269377000000006","45.5","43.200000000000003","43.700000000000003","45.399999999999999","43.600000000000001","43.600000000000001","99199","85861","80237","143024","126261","108011","9679","9702","9572","5758","5787","5738","4.5","4","3.7000000000000002","10914","10852","11220","519","454","436","17490.400000000001","14894.91","13950.93","Bristol","Banco Santander, S.A., BankFive, MHC, Citizens Financial Group, Inc., Citizens Financial Group, Inc., Coastal1 Credit Union, Narragansett Financial Corporation, OceanPoint Financial Partners, MHC, Peoples Credit Union, Rhode Island Credit Union, Rhode Island Credit Union",8,0
"02812","41.477584","-71.655300999999994","44.899999999999999","45.299999999999997","46.100000000000001","42.600000000000001","42.799999999999997","42.600000000000001","102000","112787","114358","120480","123926","132764","542","543","526","456","475","435","1.5","2.1000000000000001","2.7999999999999998","854","899","824","13","19","24","19407.560000000001","19701.310000000001","18251.919999999998","Carolina","none",0,0
"02813","41.397230999999998","-71.669301000000004","55.600000000000001","53.100000000000001","51.799999999999997","49.600000000000001","48.100000000000001","47.399999999999999","93796","92587","92177","127601","126374","123873","5460","5441","5427","3052","3005","2946","6.7000000000000002","6","7","4174","4244","4246","300","273","318","18154.709999999999","16607.939999999999","16008.34","Charlestown","Washington Trust Bancorp, Inc.",1,0
"02814","41.904165999999996","-71.707908000000003","47.899999999999999","46.100000000000001","46.200000000000003","44.600000000000001","43.700000000000003","43.700000000000003","106233","102523","103466","122648","114607","116188","3246","3249","3363","2625","2638","2699","4.2999999999999998","3.7999999999999998","3.8999999999999999","4153","4289","4656","188","170","190","19147.849999999999","17341.389999999999","16878.849999999999","Chepachet","Citizens Financial Group, Inc., Navigant Credit Union",2,1
"02815","41.772843000000002","-71.671558000000005","46","41.5","42.200000000000003","43.5","41.600000000000001","41.5","118382","108929","108929","135464","128926","139421","117","114","117","102","98","104","4.5","2.8999999999999999","2.1000000000000001","169","165","187","8","5","4","22090.330000000002","19551.23","18120.869999999999","Clayville","none",0,0
"02816","41.690733999999999","-71.615999000000002","45.899999999999999","45","44.799999999999997","44.5","43.899999999999999","43.399999999999999","86502","91243","81256","114661","113845","101745","14301","14210","14205","10599","10479","10759","3.7000000000000002","3.3999999999999999","3.8999999999999999","18040","18677","18465","701","655","754","16646.669999999998","15783.08","14106.360000000001","Coventry","Banco Santander, S.A., Brookline Bancorp, Inc., Centreville Bank, Citizens Financial Group, Inc., Ocean State Credit Union, Ocean State Credit Union, Ocean State Credit Union, OceanPoint Financial Partners, MHC, Washington Trust Bancorp, Inc., Westerly Community Credit Union",8,0
"02817","41.62921","-71.667559999999995","47.799999999999997","43.799999999999997","43.899999999999999","44.600000000000001","42.5","42.100000000000001","126156","118776","109505","156222","135748","135081","2586","2547","2614","2010","2113","1957","6.7999999999999998","3.6000000000000001","2.2999999999999998","3520","3590","4118","255","135","98","20718.25","18923.889999999999","17120.150000000001","West Greenwich","Centreville Bank",1,0
"02818","41.642133000000001","-71.495125999999999","46.399999999999999","47.299999999999997","47.299999999999997","44.299999999999997","44.899999999999999","44.700000000000003","109568","106301","105522","169471","151221","149114","9011","8869","8980","6107","6064","6140","4","2.7000000000000002","3.3999999999999999","11015","11200","10641","455","311","372","18200.439999999999","17053.209999999999","16402.060000000001","East Greenwich","Banco Santander, S.A., Bank of America Corporation, Brookline Bancorp, Inc., Centreville Bank, Citizens Financial Group, Inc., Coastal1 Credit Union, HarborOne Bancorp, Inc., Independence Bank, JPMorgan Chase & Co., Navigant Credit Union, Navigant Credit Union, OceanPoint Financial Partners, MHC, Washington Trust Bancorp, Inc.",12,2
"02822","41.568072999999998","-71.635942","48.5","48.399999999999999","48.5","45.200000000000003","45.399999999999999","45.299999999999997","105773","105141","109559","153507","146918","152250","2541","2515","2447","2030","1995","1955","7.7999999999999998","9.3000000000000007","9.8000000000000007","3270","3202","3324","278","330","359","19583.07","17604.529999999999","17293.860000000001","Exeter","none",0,0
"02824","41.998860000000001","-71.562667000000005","42.100000000000001","43.600000000000001","43.200000000000003","42.100000000000001","43.5","43.100000000000001","95313","92935","82639","105798","112493","104828","179","162","146","86","99","81","7","4.2000000000000002","5.9000000000000004","200","183","160","15","8","10","14578.07","14588.49","12955.610000000001","Forestdale","none",0,0
"02825","41.781159000000002","-71.723487000000006","48.299999999999997","45.299999999999997","46.100000000000001","45.100000000000001","43.100000000000001","43.5","111546","104108","102377","132551","122043","124068","2087","2091","2165","1783","1793","1867","3","2.6000000000000001","1.8999999999999999","2894","2957","3332","89","80","66","20315.41","18030.25","16958.580000000002","Foster","none",0,0
"02826","41.977891","-71.644869","47.700000000000003","44.399999999999999","43.899999999999999","44.700000000000003","42.899999999999999","42.299999999999997","112500","107292","105114","132510","125245","126807","273","273","197","221","229","153","7.2999999999999998","5.4000000000000004","4.2000000000000002","382","386","277","30","22","12","19261.84","18171.790000000001","16874.049999999999","Glendale","none",0,0
"02827","41.696801000000001","-71.736354000000006","46.799999999999997","44.700000000000003","45.600000000000001","44.399999999999999","43.299999999999997","43.299999999999997","103954","92808","90000","123095","109512","112041","866","872","906","753","790","792","3.3999999999999999","1.5","1.5","1057","1121","1299","37","17","20","19720.02","17077.709999999999","15810.18","Greene","none",0,0
"02828","41.876247999999997","-71.562387000000001","50.600000000000001","50.299999999999997","49.700000000000003","47.700000000000003","48","47","98265","96790","103308","122987","114649","123485","2968","2985","3351","2388","2447","2563","4.5","2.7999999999999998","2.7999999999999998","3421","3669","4148","160","105","120","18418.82","17102.279999999999","16760","Greenville","Bank of America Corporation, Beacon Bancorp, Brookline Bancorp, Inc., Citizens Financial Group, Inc., Citizens Financial Group, Inc., JPMorgan Chase & Co., Navigant Credit Union",6,1
"02830","41.978588999999999","-71.644738000000004","45.799999999999997","43.899999999999999","44.100000000000001","43.799999999999997","42.700000000000003","42.799999999999997","106396","101108","92852","119261","110603","107483","2732","2739","2953","1934","2021","2109","6.5999999999999996","4.2999999999999998","4.4000000000000004","3659","3801","4080","260","172","188","17899.48","16459.240000000002","14925.35","Harrisville","none",0,0
"02831","41.744967000000003","-71.584946000000002","46.100000000000001","44.600000000000001","45.399999999999999","43.799999999999997","43.200000000000003","43.299999999999997","120795","120519","114224","153688","152434","141523","1636","1635","1815","1320","1335","1539","3.6000000000000001","2.8999999999999999","3.5","2219","2354","2683","82","71","98","21323.310000000001","20026.459999999999","18042.73","Hope","none",0,0
"02832","41.510275999999998","-71.729545000000002","48.5","46.799999999999997","47.200000000000003","45.399999999999999","44.299999999999997","44.200000000000003","94373","94341","94672","126685","118939","112625","2085","2061","2105","1572","1589","1552","5.7999999999999998","5.2000000000000002","4.0999999999999996","2671","2803","2861","164","153","123","17299.700000000001","16441.650000000001","15513.77","Hope Valley","none",0,0
"02833","41.477682000000001","-71.775994999999995","52","50.200000000000003","48.600000000000001","48.299999999999997","46.600000000000001","45.5","81481","90074","92969","94192","100275","104951","251","250","220","166","180","146","7","6.2000000000000002","4.4000000000000004","281","302","285","21","20","13","15176.84","15460.93","15071.110000000001","Hopkinton","none",0,0
"02835","41.515231999999997","-71.377319999999997","57.299999999999997","55.600000000000001","55.5","50.899999999999999","49.299999999999997","49.100000000000001","120905","124256","123929","178892","187823","195205","3109","3119","3131","1949","2088","1944","5.9000000000000004","3.7000000000000002","4.2999999999999998","2334","2552","2750","145","97","122","20013.75","19802.619999999999","18583.380000000001","Jamestown","OceanPoint Financial Partners, MHC",1,0
"02836","41.447842999999999","-71.621030000000005","43.799999999999997","45.299999999999997","45","41.100000000000001","41.799999999999997","42","97500","119643","122917","117283","134156","141067","48","47","47","40","41","40","1.3999999999999999","2.6000000000000001","2.6000000000000001","73","74","74","1","2","2","19056.369999999999","20240.02","19036.400000000001","Kenyon","none",0,0
